,Type,Air Temperature,Process Temperature,Rotational Speed,Torque,Tool Wear,Machine Failure
198,L,298.4,308.7,1588,35.0,99,0
199,L,298.4,308.6,1433,47.1,101,0
200,L,298.4,308.6,1609,35.0,103,0
201,L,298.3,308.5,1575,41.2,105,0
202,M,298.4,308.5,1636,35.7,107,0
203,L,298.4,308.5,1490,37.9,110,0
204,L,298.4,308.5,1741,32.8,112,0
205,M,298.5,308.6,1344,53.0,114,0
206,L,298.5,308.7,1609,35.3,117,0
207,M,298.4,308.7,1421,60.7,119,1
208,L,298.4,308.6,1591,36.7,122,0
209,L,298.4,308.6,1477,44.0,124,0
210,L,298.4,308.7,1523,36.1,126,0
211,L,298.5,308.7,1575,33.9,128,0
212,H,298.4,308.7,1344,52.9,130,0
213,L,298.4,308.7,1386,44.9,135,0
214,M,298.3,308.6,1589,37.1,137,0
215,L,298.3,308.6,1548,40.3,140,0
216,L,298.3,308.6,1499,38.3,142,0
217,L,298.3,308.5,1664,31.6,144,0
218,L,298.3,308.6,1447,38.1,146,0
219,M,298.3,308.5,1434,46.2,148,0
220,L,298.3,308.5,1416,52.7,151,0
221,H,298.4,308.5,1827,24.3,153,0
222,L,298.4,308.6,1304,45.0,158,0
223,L,298.4,308.6,1569,34.4,160,0
224,L,298.3,308.6,1584,29.3,162,0
225,L,298.3,308.5,1362,53.8,164,0
226,L,298.3,308.4,1329,49.2,166,0
227,L,298.3,308.5,1539,36.1,168,0
228,M,298.3,308.5,1629,37.1,170,0
229,L,298.3,308.5,1538,32.2,173,0
230,L,298.3,308.6,1570,34.8,175,0
231,L,298.3,308.4,1408,43.1,177,0
232,L,298.2,308.4,1424,47.6,179,0
233,L,298.2,308.4,1512,34.9,181,0
234,L,298.2,308.4,1478,42.9,183,0
235,M,298.1,308.3,1680,33.7,185,0
236,L,298.1,308.3,1495,38.7,188,0
237,M,298.0,308.1,1552,36.6,190,0
238,L,297.9,308.1,1393,50.3,193,0
239,L,298.0,308.2,1611,30.6,195,0
240,M,298.0,308.1,1339,51.6,197,0
241,L,298.0,308.1,1777,24.3,200,0
242,L,298.0,308.2,1348,58.8,202,1
243,L,298.0,308.2,1442,44.1,204,0
244,M,298.0,308.2,1395,49.1,206,0
245,M,297.9,308.1,1627,31.4,209,0
246,L,297.9,308.1,1585,33.5,212,0
247,L,298.0,308.2,1469,45.5,214,0
248,L,298.0,308.3,1362,56.8,216,1
249,L,298.0,308.3,1405,56.2,218,1
250,L,298.0,308.3,1662,32.7,0,0
251,M,298.0,308.2,1466,42.6,2,0
252,L,298.0,308.2,1620,35.8,5,0
253,L,298.0,308.2,1357,48.2,7,0
254,L,298.0,308.2,1514,37.9,9,0
255,L,298.0,308.2,1489,40.4,11,0
256,L,298.1,308.3,1331,63.0,13,0
257,L,298.0,308.0,1615,29.5,15,0
258,L,298.1,308.2,1482,37.9,17,0
259,M,298.1,308.2,1420,63.9,19,1
260,M,298.2,308.3,1522,49.1,22,0
261,L,298.1,308.2,1654,32.1,25,0
262,M,298.1,308.2,1736,26.8,27,0
263,M,298.0,308.1,1587,32.3,30,0
264,L,298.1,308.2,1390,47.5,33,0
265,L,298.0,308.1,1454,37.1,35,0
266,H,298.0,308.1,1440,43.7,37,0
267,L,297.9,308.0,1954,21.1,42,0
268,H,297.9,308.0,1800,24.8,44,0
269,L,298.0,308.0,1524,37.0,49,0
270,H,298.0,308.0,1520,39.6,51,0
271,M,298.1,308.1,1452,40.8,56,0
272,L,298.1,308.1,1484,40.4,59,0
273,L,298.1,308.0,1426,46.0,61,0
274,L,298.1,308.0,1652,28.5,63,0
275,L,298.0,308.0,1401,54.7,65,0
276,M,298.0,307.9,1750,26.6,67,0
277,H,298.0,308.0,1479,50.7,70,0
278,M,298.0,308.0,1620,29.4,75,0
279,L,298.0,308.1,1819,23.4,78,0
280,M,298.1,308.1,1456,43.7,80,0
281,L,298.1,308.0,1626,36.5,83,0
282,M,298.1,308.1,1390,49.8,85,0
283,L,298.2,308.2,1469,43.0,88,0
284,L,298.2,308.3,2051,19.2,90,0
285,L,298.2,308.3,1568,36.0,92,0
286,L,298.2,308.3,1589,33.2,94,0
287,L,298.2,308.3,1805,31.6,96,0
288,H,298.2,308.4,1385,42.2,98,0
289,L,298.1,308.4,1436,46.7,103,0
290,L,298.1,308.4,1438,45.6,105,0
291,L,298.0,308.3,1473,42.6,107,0
292,L,298.1,308.4,1335,40.2,109,0
293,H,298.1,308.5,1392,44.8,111,0
294,M,298.1,308.5,1372,51.1,116,0
295,M,298.1,308.6,1716,30.7,119,0
296,L,298.0,308.5,1395,46.2,122,0
297,L,298.0,308.5,1713,25.3,124,0
298,H,297.9,308.5,2129,18.7,126,0
299,M,297.8,308.3,1567,35.6,131,0
300,L,297.8,308.4,1622,38.3,134,0
301,L,297.7,308.4,1740,27.1,136,0
302,H,297.8,308.4,1512,35.1,138,0
303,M,297.8,308.4,1479,43.5,143,0
304,L,297.8,308.4,1737,27.5,146,0
305,L,297.8,308.4,2129,19.2,148,0
306,L,297.8,308.4,1374,47.1,150,0
307,M,297.8,308.4,1579,36.6,152,0
308,L,297.9,308.5,1305,47.2,155,0
309,M,297.9,308.5,1449,40.8,157,0
310,H,298.0,308.6,1526,41.8,160,0
311,M,298.0,308.6,1453,44.1,165,0
312,L,297.9,308.6,1468,36.0,168,0
313,L,298.0,308.6,1313,50.8,170,0
314,M,297.9,308.5,1300,53.0,172,0
315,L,297.9,308.4,1646,40.6,175,0
316,L,297.8,308.4,1714,33.2,177,0
317,L,297.8,308.4,1685,28.4,179,0
318,L,297.8,308.4,1512,39.9,181,0
319,L,297.8,308.4,1612,32.1,183,0
320,H,297.8,308.4,1550,38.2,185,0
321,L,297.8,308.4,1518,32.5,190,0
322,L,297.8,308.5,1448,40.0,192,0
323,L,297.8,308.5,1561,46.3,194,0
324,M,297.8,308.5,1488,41.9,196,0
325,L,297.8,308.5,1699,27.8,199,0
326,L,297.7,308.5,1501,41.4,201,0
327,L,297.7,308.5,1373,56.7,203,1
328,H,297.6,308.4,1703,31.4,205,0
329,H,297.7,308.5,1720,29.9,210,0
330,M,297.6,308.4,1398,41.9,215,0
331,M,297.6,308.4,1391,51.9,218,0
332,M,297.6,308.3,1538,40.2,0,0
333,L,297.5,308.2,1647,31.3,3,0
334,M,297.5,308.1,1469,44.8,5,0
335,L,297.4,308.1,1749,25.9,8,0
336,M,297.6,308.2,1995,20.5,10,0
337,L,297.6,308.3,1742,27.7,13,0
338,L,297.5,308.2,1563,38.2,15,0
339,M,297.5,308.2,1713,32.2,17,0
340,L,297.4,308.1,1474,39.4,20,0
341,M,297.4,308.2,1530,32.6,22,0
342,L,297.4,308.2,1471,46.5,25,0
343,L,297.5,308.3,1388,48.6,27,0
344,M,297.5,308.2,2448,13.8,29,0
345,L,297.5,308.3,1585,32.9,32,0
346,M,297.5,308.3,1459,45.2,34,0
347,L,297.5,308.3,1544,40.8,37,0
348,L,297.6,308.3,1617,31.7,39,0
349,L,297.6,308.3,1595,34.3,41,0
350,H,297.6,308.3,1400,44.3,43,0
351,M,297.6,308.4,1611,31.0,48,0
352,M,297.6,308.4,1507,46.0,51,0
353,H,297.5,308.3,1674,30.0,54,0
354,L,297.6,308.3,1658,34.3,59,0
355,L,297.6,308.3,1623,36.9,61,0
356,M,297.6,308.4,1398,48.9,63,0
357,L,297.6,308.4,1517,34.2,66,0
358,M,297.6,308.3,1467,36.7,68,0
359,M,297.6,308.3,1567,34.6,71,0
360,M,297.5,308.3,1521,38.2,74,0
361,L,297.5,308.3,1596,36.8,77,0
362,H,297.6,308.3,1640,30.9,79,0
363,L,297.6,308.3,1438,47.8,84,0
364,L,297.6,308.4,1407,55.2,86,0
365,L,297.6,308.4,1353,57.5,88,0
366,M,297.6,308.5,1552,40.9,90,0
367,M,297.6,308.4,1569,38.3,93,0
368,L,297.5,308.4,1489,39.5,96,0
369,H,297.5,308.4,1587,36.1,98,0
370,M,297.5,308.3,1622,37.2,103,0
371,L,297.5,308.4,1604,38.1,106,0
372,M,297.4,308.3,1405,51.7,108,0
373,L,297.4,308.3,1412,42.0,111,0
374,L,297.4,308.3,1431,43.0,113,0
375,L,297.4,308.2,1533,37.4,115,0
376,M,297.4,308.2,1401,51.9,117,0
377,M,297.4,308.2,1424,53.9,120,0
378,L,297.3,308.2,1754,29.4,123,0
379,L,297.3,308.2,1754,26.8,125,0
380,L,297.5,308.3,2564,12.8,127,1
381,L,297.5,308.5,1546,40.4,129,0
382,L,297.5,308.5,1335,48.0,131,0
383,M,297.5,308.6,1842,27.0,133,0
384,L,297.5,308.5,1712,26.8,136,0
385,M,297.6,308.6,1414,45.4,138,0
386,L,297.6,308.7,1319,50.9,141,0
387,L,297.7,308.7,1249,60.4,143,0
388,L,297.6,308.7,1455,48.2,145,0
389,M,297.6,308.7,1408,54.8,147,0
390,L,297.6,308.7,1460,46.7,150,0
391,L,297.6,308.6,1491,38.1,152,0
392,M,297.6,308.5,1490,43.4,154,0
393,M,297.5,308.4,1350,52.2,157,0
394,L,297.5,308.4,1528,39.9,160,0
395,L,297.4,308.3,1571,37.7,162,0
396,L,297.4,308.3,1490,42.6,164,0
397,M,297.4,308.3,1774,28.9,166,0
398,H,297.4,308.3,1502,43.6,169,0
399,L,297.4,308.4,1392,49.7,174,0
400,L,297.4,308.5,2100,16.9,176,0
401,L,297.5,308.5,1722,30.4,178,0
402,L,297.4,308.6,1678,32.3,180,0
403,L,297.3,308.6,1273,59.8,182,0
404,L,297.3,308.6,1297,45.9,184,0
405,L,297.3,308.5,1350,57.6,186,0
406,L,297.4,308.6,1439,51.9,188,0
407,M,297.4,308.5,1600,42.1,190,0
408,M,297.4,308.6,1434,44.4,193,0
409,L,297.4,308.6,1459,41.3,196,0
410,M,297.5,308.6,1472,44.9,198,0
411,L,297.5,308.7,1429,44.3,201,0
412,L,297.5,308.6,1388,48.2,203,0
413,L,297.4,308.4,1573,34.5,205,0
414,L,297.4,308.4,1588,32.5,207,0
415,L,297.5,308.4,1511,42.8,209,0
416,L,297.4,308.5,1495,37.8,211,0
417,L,297.4,308.4,1394,50.1,213,0
418,L,297.4,308.4,2151,17.7,0,0
419,M,297.3,308.3,1501,38.2,2,0
420,M,297.3,308.3,1301,39.6,5,0
421,M,297.3,308.3,1657,31.1,8,0
422,L,297.3,308.3,1333,55.2,11,0
423,L,297.3,308.3,1484,43.9,13,0
424,L,297.3,308.4,1430,45.7,15,0
425,M,297.3,308.4,1665,28.9,17,0
426,L,297.4,308.5,1501,44.9,20,0
427,M,297.5,308.5,1496,42.2,22,0
428,M,297.6,308.6,1595,36.9,25,0
429,L,297.5,308.6,1208,62.3,28,0
430,L,297.5,308.6,1596,37.1,30,0
431,L,297.5,308.5,1446,41.9,32,0
432,M,297.6,308.5,1466,39.7,34,0
433,M,297.6,308.5,1848,23.7,37,0
434,M,297.5,308.5,1484,44.7,40,0
435,L,297.4,308.3,1493,41.2,43,0
436,L,297.3,308.3,1504,36.3,45,0
437,L,297.3,308.3,1538,38.5,47,0
438,L,297.4,308.4,1341,52.2,49,0
439,M,297.4,308.3,1535,34.6,51,0
440,L,297.4,308.5,1389,39.2,54,0
441,H,297.5,308.5,1393,46.6,56,0
442,L,297.4,308.5,1399,61.5,61,1
443,H,297.4,308.5,1469,45.1,63,0
444,L,297.4,308.4,1582,37.2,68,0
445,L,297.5,308.6,1793,26.7,70,0
446,L,297.5,308.6,1452,39.0,72,0
447,M,297.6,308.7,1376,59.9,74,0
448,L,297.5,308.6,1552,44.9,77,0
449,L,297.6,308.7,1622,37.9,79,0
450,M,297.6,308.7,1419,41.7,81,0
451,H,297.5,308.6,1440,46.1,84,0
452,M,297.4,308.6,1643,31.0,89,0
453,L,297.4,308.7,1510,36.2,92,0
454,L,297.4,308.7,1468,46.6,94,0
455,L,297.4,308.7,1429,57.4,96,0
456,H,297.3,308.7,1478,47.6,98,0
457,L,297.4,308.6,1276,53.6,103,0
458,L,297.3,308.6,1486,42.6,105,0
459,L,297.4,308.6,1476,42.3,107,0
460,H,297.3,308.6,1431,42.0,109,0
461,L,297.4,308.7,1402,40.2,114,0
462,L,297.4,308.7,1433,43.4,116,0
463,L,297.4,308.7,2874,4.2,118,1
464,L,297.3,308.6,1511,35.7,120,0
465,M,297.3,308.6,1456,42.9,122,0
466,L,297.2,308.5,1550,41.5,125,0
467,L,297.2,308.5,2182,16.5,127,0
468,L,297.3,308.7,1619,31.6,129,0
469,M,297.3,308.8,1586,32.7,131,0
470,H,297.3,308.8,1499,44.2,134,0
471,H,297.3,308.8,1419,42.4,139,0
472,M,297.4,309.0,1497,41.8,144,0
473,M,297.4,309.0,1520,37.0,147,0
474,L,297.4,309.1,1478,49.8,150,0
475,L,297.4,309.1,1380,41.1,152,0
476,L,297.4,309.0,1570,37.9,154,0
477,H,297.4,309.0,1468,41.4,156,0
478,L,297.4,309.0,1833,22.6,161,0
479,M,297.4,308.9,1323,57.3,163,0
480,L,297.4,309.0,1583,32.0,166,0
481,M,297.3,309.0,1556,39.5,168,0
482,L,297.3,309.0,1548,37.4,171,0
483,L,297.4,309.0,1324,56.9,173,0
484,L,297.4,309.0,1568,33.7,175,0
485,M,297.4,309.0,1685,30.7,177,0
486,M,297.4,309.1,1582,35.9,180,0
487,M,297.4,309.1,1463,35.0,183,0
488,L,297.4,309.2,1584,42.8,186,0
489,M,297.5,309.2,1347,55.8,188,0
490,L,297.4,309.2,1459,37.9,191,0
491,L,297.4,309.2,1420,45.6,193,0
492,L,297.5,309.3,1404,43.5,195,0
493,L,297.5,309.3,1470,38.8,197,0
494,L,297.6,309.4,1326,49.8,199,0
495,H,297.5,309.3,1459,49.7,201,0
496,M,297.5,309.2,1530,40.0,206,0
497,L,297.4,309.0,1505,39.2,209,0
498,L,297.5,309.1,1611,30.2,211,0
499,L,297.5,309.1,1515,35.1,213,0
500,M,297.5,309.2,1804,27.4,215,0
501,M,297.6,309.3,1464,46.2,218,0
502,L,297.6,309.2,1390,43.3,221,0
503,M,297.6,309.2,1442,48.1,0,0
504,M,297.6,309.3,1529,41.9,3,0
505,L,297.6,309.3,1610,35.0,6,0
506,L,297.6,309.3,1543,34.3,8,0
507,H,297.8,309.4,1445,48.2,10,0
508,L,297.7,309.3,1893,24.6,15,0
509,M,297.6,309.3,1415,41.3,17,0
510,L,297.5,309.3,1564,37.5,20,0
511,L,297.5,309.3,1479,39.4,22,0
512,L,297.5,309.2,1426,44.8,24,0
513,L,297.4,309.2,1428,38.8,26,0
514,L,297.4,309.2,1620,33.2,28,0
515,L,297.5,309.2,1715,28.0,30,0
516,L,297.5,309.3,1732,29.9,32,0
517,M,297.5,309.4,1391,58.2,34,0
518,L,297.6,309.5,1924,20.6,37,0
519,M,297.7,309.5,2027,19.8,39,0
520,L,297.6,309.5,1617,36.2,42,0
521,L,297.5,309.4,1497,35.8,44,0
522,M,297.5,309.5,1448,43.7,46,0
523,L,297.4,309.4,1401,45.9,49,0
524,L,297.4,309.4,1620,35.4,51,0
525,L,297.4,309.4,1466,45.5,53,0
526,L,297.6,309.5,1373,50.6,55,0
527,M,297.6,309.6,1592,35.8,57,0
528,M,297.5,309.5,1553,42.4,60,0
529,L,297.6,309.5,1569,36.2,63,0
530,M,297.6,309.5,1709,32.2,65,0
531,L,297.6,309.5,1549,34.9,68,0
532,L,297.5,309.4,1443,45.4,70,0
533,L,297.5,309.3,1675,29.8,72,0
534,L,297.5,309.3,1623,33.4,74,0
535,H,297.4,309.3,1365,52.4,76,0
536,L,297.4,309.3,1759,24.8,81,0
537,H,297.4,309.3,1516,43.0,83,0
538,M,297.4,309.3,1499,36.8,88,0
539,M,297.4,309.3,1775,25.8,91,0
540,L,297.4,309.4,1473,45.5,94,0
541,L,297.4,309.4,1296,52.3,96,0
542,L,297.5,309.4,1803,24.7,98,0
543,H,297.5,309.3,1563,36.1,100,0
544,M,297.5,309.4,1831,26.6,105,0
545,L,297.6,309.4,1958,22.1,108,0
546,L,297.5,309.4,1809,24.3,110,0
547,M,297.5,309.4,1482,39.3,112,0
548,L,297.4,309.3,1332,53.2,115,0
549,L,297.4,309.2,1437,40.4,117,0
550,L,297.4,309.2,1698,29.4,119,0
551,L,297.4,309.2,1274,54.3,121,0
552,M,297.4,309.3,1622,35.0,123,0
553,M,297.4,309.3,1564,36.0,126,0
554,H,297.5,309.4,1368,45.3,129,0
555,M,297.4,309.4,1539,42.2,134,0
556,L,297.5,309.4,1357,50.1,137,0
557,M,297.5,309.4,1433,48.3,139,0
558,L,297.5,309.4,1650,34.6,142,0
559,L,297.5,309.4,1503,40.6,144,0
560,L,297.5,309.4,1318,58.2,146,0
561,M,297.5,309.4,1678,34.4,148,0
562,L,297.6,309.5,1574,30.9,151,0
563,L,297.7,309.6,1529,35.2,153,0
564,H,297.6,309.6,1669,32.1,155,0
565,H,297.7,309.7,1570,35.8,160,0
566,M,297.6,309.7,1541,33.7,165,0
567,M,297.7,309.7,1680,30.2,168,0
568,L,297.8,309.7,1935,22.1,171,0
569,M,297.7,309.6,1596,35.2,173,0
570,L,297.7,309.7,1498,41.0,176,0
571,M,297.8,309.8,1676,29.0,178,0
572,L,297.8,309.9,1351,49.0,181,0
573,L,297.9,309.9,1472,45.0,183,0
574,M,297.9,310.0,1439,41.7,185,0
575,M,297.9,309.9,1410,55.4,188,0
576,H,297.7,309.7,1440,51.1,191,0
577,L,297.7,309.7,1591,37.7,196,0
578,L,297.8,309.8,1533,36.8,198,0
579,M,297.8,309.7,1700,31.3,200,0
580,M,297.8,309.8,1798,25.5,203,0
581,L,297.8,309.7,1394,42.9,206,0
582,L,297.8,309.7,1341,49.2,208,0
583,H,297.7,309.6,1697,32.2,210,0
584,H,297.6,309.6,1419,48.2,215,0
585,L,297.6,309.5,2001,20.5,220,0
586,L,297.6,309.6,1501,49.8,222,1
587,H,297.6,309.5,1623,33.1,224,0
588,L,297.6,309.4,1628,33.4,229,0
589,L,297.6,309.4,1491,40.2,231,0
590,L,297.5,309.4,1517,36.7,233,0
591,H,297.5,309.3,1525,41.7,235,0
592,H,297.5,309.5,1668,27.9,240,0
593,L,297.5,309.6,1312,50.7,0,0
594,H,297.6,309.6,1278,50.4,2,0
595,M,297.6,309.6,1330,53.1,7,0
596,M,297.6,309.6,1530,37.3,10,0
597,H,297.6,309.6,1428,46.6,13,0
598,L,297.7,309.6,1480,47.9,18,0
599,H,297.7,309.7,1616,31.1,20,0
600,L,297.8,309.7,1547,37.3,25,0
601,L,297.9,309.7,2194,16.8,27,0
602,L,297.9,309.8,2000,21.3,29,0
603,L,297.9,309.8,1336,71.6,31,1
